Korian,English
Annyeonghaseyo,Hello
Annyeong,Hi
Gamsahamnida,Thank you
Gomawoyo,Thanks
Mianhamnida,I'm sorry
Joesonghamnida,I apologize
Ne,Yes
Aniyo,No
Gwaenchanayo,It's okay
Butakhamnida,Please
Na,I / Me (casual)
Jeo,I / Me (formal)
Neo,You (casual)
Dangsin,You (formal)
Uri,We / Us
Geu,He / That person
Geunyeo,She
Geudeul,They / Them
Namja,Man
Yeoja,Woman
Gada,To go
Oda,To come
Boda,To see / Watch
Meokda,To eat
Masida,To drink
Jada,To sleep
Sada,To buy
Hada,To do
Itda,To exist / Have
Eopda,To not exist / Not have
Mwo,What?
Eodi,Where?
Eonje,When?
Wae,Why?
Nugu,Who?
Eotteoke,How?
Myeot,How many?
Hana,One
Dul,Two
Set,Three
Net,Four
Daseot,Five
Yeoseot,Six
Ilgop,Seven
Yeodeol,Eight
Ahop,Nine
Yeol,Ten
Oneul,Today
Eoje,Yesterday
Naeil,Tomorrow
Jigeum,Now
Ojeon,Morning
Ohu,Afternoon
Bam,Night
Sigan,Time
Nal,Day
Ju,Week
Keuda,Big
Jakda,Small
Gilda,Long
Jjalbda,Short
Ppareuda,Fast
Neurida,Slow
Chupda,Cold
Deopda,Hot
Jota,Good
Nappeuda,Bad
Gajok,Family
Abeoji,Father
Eomeoni,Mother
Hyeong,Older brother (for males)
Nuna,Older sister (for males)
Oppa,Older brother (for females)
Eonni,Older sister (for females)
Chingu,Friend
Seonsaengnim,Teacher
Sarang,Love
Jip,House
Hakgyo,School
Byeongwon,Hospital
Sikdang,Restaurant
Sijang,Market
Gongwon,Park
Doseogwan,Library
Gage,Store
Eunhaeng,Bank
Hoesa,Company
Chaek,Book
Jadongcha,Car
Don,Money
Jeonhwa,Phone
Uija,Chair
Teibeul,Table
Mun,Door
Changmun,Window
Keompyuteo,Computer
Tellebijeon,Television
Jeongmal,Really
Jogeum,A little
Mani,A lot
,
,
,
,
,
,
,
,
